CategoryGER,Keyword,KeywordId,StrCity,Date,Impressions,CategoryGERId
/Sport & Fitness/Sport/Fußball,fussball turnierplan,3220944409,Philippsburg,20171125,1,2952
/Sport & Fitness/Sport/Fußball,fussbal training,3326409293,Burladingen,20171116,1,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Villingen-Schwenningen,20170825,1,2952
/Sport & Fitness/Sport/Fußball,crivit sports,19209310792,Sinsheim,20171023,1,2952
/Sport & Fitness/Sport/Fußball,fitness software,308921368296,Deggendorf,20171101,1,2952
/Sport & Fitness/Sport/Fußball,fitness delmenhorst preise,168404420651,Konstanz,20171217,1,2952
/Sport & Fitness/Sport/Fußball,fanbekleidung fussball,173919955205,Dettenheim,20171029,1,2952
/Sport & Fitness/Sport/Fußball,fussball meisterschale,354358449029,Oberkirch,20171105,1,2952
/Sport & Fitness/Sport/Fußball,frisbee sport,297627753353,Markdorf,20171121,1,2952
/Sport & Fitness/Sport/Fußball,biathlon training,299454432920,Stuttgart,20171012,1,2952
/Kunst und Unterhaltung/Comics und Graphic Novels,gudereit fantasy,353720416969,Berlin,20171123,1,122
/Sport & Fitness/Sport/Fußball,indoor soccer ball,15360060,Teningen,20171115,1,2952
/Sport & Fitness/Sport/Fußball,handball unterrichtsentwurf,356012182715,Balingen,20171217,2,2952
/Sport & Fitness/Sport/Fußball,indoor soccer ball,15360060,Eppelheim,20171227,1,2952
/Sport & Fitness/Sport/Fußball,fussball rangliste welt,324098856145,Teningen,20171201,1,2952
/Sport & Fitness/Sport/Fußball,fitness goeppingen,3118787089,Kirchheim unter Teck,20170109,1,2952
/Sport & Fitness/Sport/Fußball,bodybuilding,3114779369,Ludwigsburg,20170415,1,2952
/Sport & Fitness/Sport/Fußball,berufe mit fitness,55780177492,Rehau,20170825,1,2952
/Sport & Fitness/Sport/Fußball,fitness software,21980483930,Haslach im Kinzigtal,20171004,1,2952
/Sport & Fitness/Sport/Fußball,handball unterrichtsentwurf,165646161194,Geisingen,20171126,1,2952
